"";"ships_from";"ships_to";"successful_transactions"
"392";"CA";"CA, EU";60
"393";"NL";"EU, WW";130
"394";"NL";"EU";230
"395";"GB";"GB, EU";1950
"396";"GB";"WW, EU";820
"397";"US";"US";190
"398";"DE";"WW";24
"399";"US";"US";110
"400";"FR";"WW";17
"401";"DE";"DE, WW";3250
"402";"NL";"WW";110
"403";"NL";"EU";180
"404";"DE";"DE";1700
"405";"NL";"WW";100
"406";"DE";"DE, WW";600
"407";"DE";"DE, WW";3250
"408";"NL";"EU";180
"409";"DE";"WW";20
"410";"NL";"EU";620
"411";"NL";"EU";90
"412";"EU";"EU";130
"413";"DE";"WW";20
"414";"DE";"WW, DE";490
"415";"NL";"EU";620
"416";"NL";"EU";70
"417";"NL";"EU";230
"418";"NL";"EU";460
"419";"NL";"EU";90
"420";"NL";"EU, ASIA";60
"421";"NL";"EU";5
"422";"BR";"WW";1
"423";"NL";"WW, EU";430
"424";"DE";"WW";20
"425";"EU";"EU";130
"426";"GB";"GB, IE";200
"427";"GB";"GB, IE";200
"428";"DE";"EU";40
"429";"GB";"WW";190
"430";"US";"US";370
"431";"GB";"WW";1250
"432";"GB";"WW";190
"433";"NL";"EU";620
"434";"NL";"EU";620
"435";"NL";"EU";70
"436";"NL";"EU";230
"437";"NL";"WW";17
"438";"NL";"EU";720
"439";"GB";"GB";14
"440";"DE";"WW, US";230
"441";"DE";"DE, NL";150
"442";"DE";"WW";660
"443";"EU";"WW";20
"444";"CA";"WW, EU";70
"445";"US";"US";370
"446";"DE";"EU, GB";20
"447";"DE";"EU, GB";20
"448";"US";"US, WW";840
"449";"US";"US";370
"450";"WW";"WW";80
"451";"CA";"WW";15
"452";"GB";"GB";280
"453";"GB";"GB";280
"454";"SE";"EU";1
"455";"WW";"WW";50
"456";"NL";"WW, EU";40
"457";"NL";"WW";540
"458";"NL";"EU";460
"459";"NL";"EU";460
"460";"NL";"EU";460
"461";"NL";"WW, EU";15
"462";"DE";"DE, WW";600
"463";"NL";"WW, EU";15
"464";"NL";"WW";40
"465";"NL";"WW, EU";620
"466";"NL";"WW";310
"467";"NL";"WW, EU";620
"468";"NL";"EU";350
"469";"EU";"EU, WW";100
"470";"DE";"WW, DE";490
"471";"NL";"EU";620
"472";"NL";"EU";90
"473";"NL";"EU";70
"474";"NL";"EU";230
"475";"EU";"EU, WW";100
"476";"EU";"WW";150
"477";"NL";"EU";460
"478";"GB";"GB";14
"479";"DE";"EU, DE";310
"480";"NL";"EU, ASIA";60
"481";"NL";"EU";5
"482";"GB";"EU, WW";290
"483";"US";"US";110
"484";"NL";"WW";200
"485";"DE";"WW";250
"486";"GB";"GB, WW";110
"487";"DE";"EU, DE";13
"488";"FR";"FR, EU";540
"489";"DE";"EU";130
"490";"NL";"EU, WW";32
"491";"DE";"EU, DE";310
"492";"DE";"EU, DE";310
"493";"GB";"EU";1150
"494";"GB";"GB, WW";270
"495";"DE";"EU";380
"496";"US";"WW";160
"497";"NL";"EU";230
"498";"NL";"WW";4
"499";"CA";"CA, EU";60
"500";"NL";"EU, WW";130
"501";"NL";"EU";230
"502";"GB";"GB, EU";1950
"503";"GB";"WW, EU";820
"504";"NL";"WW";300
"505";"CH";"CH";7
"506";"AU";"AU";15
"507";"BR";"WW";1
"508";"AU";"AU";15
"509";"GB";"GB, EU";60
"510";"NL";"WW";12
"511";"NL";"WW, EU";620
"512";"NL";"WW, EU";620
"513";"NL";"WW";140
"514";"ES";"WW";100
"515";"NL";"WW";15
"516";"DE";"WW";24
"517";"NL";"WW";40
"518";"NL";"WW";310
"519";"DE";"WW";40
"520";"NL";"WW";40
"521";"FR";"WW";260
"522";"FR";"WW";260
"523";"NL";"WW, EU";430
"524";"NL";"WW, EU";430
"525";"GB";"GB";540
"526";"US";"US";110
"527";"EU";"WW";60
"528";"NL";"WW, NL";130
"529";"DE";"WW";540
"530";"NL";"EU";350
"531";"DE";"DE, WW";3250
"532";"DE";"DE, WW";28
"533";"NL";"WW";110
"534";"NL";"EU";180
"535";"GB";"GB, EU";110
"536";"BE";"WW";70
"537";"DE";"DE, WW";3250
"538";"DE";"DE";1700
"539";"GB";"GB, WW";2450
"540";"AU";"AU";50
"541";"AU";"AU";50
"542";"US";"US";370
"543";"NL";"WW";140
"544";"NL";"WW";40
"545";"NL";"WW";100
"546";"NL";"WW, US";200
"547";"GB";"WW";110
"548";"GB";"WW";110
"549";"GB";"WW";110
"550";"DE";"WW";40
"551";"DE";"DE, WW";28
"552";"ES";"EU, N. America";470
"553";"NL";"EU";230
"554";"NL";"WW, EU";15
"555";"NL";"WW, EU";15
"556";"NL";"WW";200
"557";"FR";"WW";17
"558";"GB";"GB";500
"559";"GB";"WW";2350
"560";"AU";"AU, NZ";170
"561";"DE";"WW";540
"562";"BE";"WW";1
"563";"DE";"WW";520
"564";"NL";"WW";100
"565";"DE";"WW, US";230
"566";"DE";"DE, NL";150
"567";"EU";"WW";20
"568";"WW";"WW";80
"569";"NL";"WW";540
"570";"NL";"EU";460
"571";"NL";"EU";460
"572";"NL";"WW";40
"573";"US";"US";80
"574";"NL";"WW";12
"575";"GB";"EU";1150
"576";"DE";"DE, WW";3250
"577";"DE";"DE, WW";28
"578";"NL";"EU";180
"579";"DE";"DE";1700
"580";"GB";"GB, WW";2450
"581";"NL";"WW";40
"582";"EU";"WW";150
"583";"NL";"WW";100
"584";"DE";"DE, WW";3250
"585";"DE";"DE, WW";28
"586";"DE";"WW, DE";490
"587";"NL";"EU";620
"588";"NL";"EU";230
"589";"DE";"WW, US";230
"590";"NL";"EU";90
"591";"EU";"EU";130
"592";"DE";"EU";40
"593";"DE";"WW";20
"594";"DE";"WW, DE";490
"595";"NL";"EU";620
"596";"NL";"EU";70
"597";"NL";"EU";230
"598";"NL";"EU";720
"599";"DE";"WW";660
"600";"CA";"WW, EU";70
"601";"DE";"EU, GB";20
"602";"DE";"EU, GB";20
"603";"WW";"WW";80
"604";"NL";"EU";90
"605";"DE";"DE, WW";600
"606";"NL";"WW, EU";15
"607";"NL";"WW";110
"608";"EU";"WW";60
"609";"DE";"WW";250
"610";"DE";"WW";250
"611";"DE";"EU";380
"612";"NL";"WW";300
"613";"BR";"WW";1
"614";"NL";"WW, EU";620
"615";"NL";"WW, EU";620
"616";"NL";"WW";140
"617";"NL";"WW";140
"618";"NL";"WW";310
"619";"FR";"WW";260
"620";"NL";"WW, EU";430
"621";"GB";"GB";540
"622";"US";"US";190
"623";"DE";"WW";20
"624";"DE";"EU, WW";80
"625";"FR";"WW";17
"626";"DE";"DE, WW";600
"627";"DE";"DE, WW";3250
"628";"DE";"DE, WW";28
"629";"NL";"EU";180
"630";"DE";"EU, WW";100
"631";"DE";"DE";1700
"632";"DE";"DE, WW";60
"633";"DE";"DE, WW";60
"634";"BE";"WW";1
"635";"DE";"WW";100
"636";"DE";"DE, WW";3250
"637";"NL";"WW";110
"638";"NL";"EU";180
"639";"DE";"WW";110
"640";"DE";"EU, WW";100
"641";"US";"N. America, WW";70
"642";"EU";"WW";150
"643";"DE";"WW";20
"644";"NL";"EU";620
"645";"NL";"WW";17
"646";"NL";"EU";720
"647";"NL";"EU";90
"648";"DE";"WW";130
"649";"DE";"WW";130
"650";"US";"US";110
"651";"EU";"WW";60
"652";"FR";"FR, EU";540
"653";"NL";"WW";300
"654";"NL";"WW, EU";620
"655";"NL";"WW, EU";620
"656";"DE";"WW";24
"657";"NL";"WW";310
"658";"DE";"WW";20
"659";"DE";"WW, DE";490
"660";"NL";"EU";620
"661";"NL";"EU";70
"662";"NL";"EU";230
"663";"NL";"WW";17
"664";"DE";"DE, NL";150
"665";"NL";"EU";460
"666";"GB";"GB";300
"667";"NL";"EU";90
"668";"DE";"WW";130
"669";"DE";"WW";130
"670";"NL";"EU, ASIA";60
"671";"NL";"EU";5
"672";"NL";"WW";200
"673";"FR";"FR, EU";540
"674";"NL";"WW";12
"675";"DE";"EU, DE";13
"676";"NL";"WW, EU";620
"677";"NL";"WW, EU";620
"678";"NL";"WW";15
"679";"DE";"WW";24
"680";"NL";"WW";310
"681";"NL";"EU";350
"682";"DE";"DE, WW";28
